,PSNY,HarmlessError,ProsecutMisconduct,DocumentLength,DefendantRespondent,DefendantAppellant,File,DA,ADA,Judges,Crime,Defense,GroundsForAppeal,ModeOfConviction,Judge,Mode,Keywords
2017_01075,respondent,0,0,2638,0.0,1.0,2017_01075.htm.txt,,Nicholas Texido," Present-Whalen, P.J., Smith, DeJoseph, Curran and Scudder, JJ",assault;harassment,Private,insufficient,jury verdict,Deborah A. Haendiges,,affirmed
2017_01076,respondent,0,0,3363,0.0,1.0,2017_01076.htm.txt,Brooks T. Baker,John C. Tunney," Present-Whalen, P.J., Smith, DeJoseph, Curran and Scudder, JJ",criminal sale controlled substance;criminal possession controlled substance,Private,misconduct,jury verdict,Peter C. Bradstreet,,affirmed
2017_01077,respondent,0,0,1025,0.0,1.0,2017_01077.htm.txt,Brooks T. Baker,John C. Tunney," Present-Whalen, P.J., Smith, DeJoseph, Curran and Scudder, JJ",criminal sale controlled substance;criminal possession controlled substance,Private,,plea of guilty,Peter C. Bradstreet,,affirmed
2017_01079,respondent,0,0,2048,0.0,1.0,2017_01079.htm.txt,,David A. Heraty," Present-Centra, J.P., Peradotto, Curran, Troutman and Scudder, JJ",rape;sexual abuse,Private,,plea of guilty,Thomas P. Franczyk,,reversed
2017_01080,respondent,0,0,3622,0.0,1.0,2017_01080.htm.txt,Gregory S. Oakes,Amy L. Hallenbeck," Present-Centra, J.P., Peradotto, Curran, Troutman and Scudder, JJ",murder,Private,,plea of guilty,Donald E. Todd,,affirmed
2017_01081,respondent,0,0,2221,0.0,1.0,2017_01081.htm.txt,Sandra Doorley,Scott Myles," Present-Centra, J.P., Peradotto, Curran, Troutman and Scudder, JJ",criminal possession weapon,Public Defender,,plea of guilty,James J. Piampiano,,affirmed
2017_01082,respondent,0,0,1706,0.0,1.0,2017_01082.htm.txt,Brooks T. Baker,John C. Tunney," Present-Centra, J.P., Peradotto, Curran, Troutman and Scudder, JJ",attempted criminal possession controlled substance,Private,,plea of guilty,Peter C. Bradstreet,,affirmed
2017_01089,respondent,0,0,2128,0.0,1.0,2017_01089.htm.txt,,David A. Heraty," Present-Smith, J.P., Carni, Lindley, DeJoseph and NeMoyer, JJ",risk pursuant to Sex Offender Registration Act,Private,,,Russell P. Buscaglia,,affirmed
2017_01090,respondent,0,0,2836,0.0,1.0,2017_01090.htm.txt,,Vincent A. Hemming," Present-Smith, J.P., Carni, Lindley, DeJoseph and NeMoyer, JJ",perjury (two counts),Public Defender,ineffective assistance,jury verdict,Michael M. Mohun,,affirmed
2017_01091,respondent,0,0,6222,0.0,1.0,2017_01091.htm.txt,Keith A. Slep,J. Thomas Fuoco," Present-Smith, J.P., Carni, Lindley, DeJoseph and NeMoyer, JJ",course sexual conduct against child,Private,,plea of guilty,Terrence M. Parker,,affirmed
2017_01093,respondent,0,0,3932,0.0,1.0,2017_01093.htm.txt,Jon E. Budelmann,Brian T. Leeds," Present-Whalen, P.J., Centra, DeJoseph, NeMoyer and Troutman, JJ",criminal possession weapon (two counts);attempted menacing police officer peace officer;menacing,Private,,plea of guilty,Thomas G. Leone,,affirmed
2017_01094,respondent,0,0,2697,0.0,1.0,2017_01094.htm.txt,Sandra Doorley,Leah R. Mervine," Present-Whalen, P.J., Centra, DeJoseph, NeMoyer and Troutman, JJ",aggravated unlicensed operation motor vehicle;driving while intoxicated;class E felony,Public Defender,,jury verdict,Douglas A. Randall,,affirmed
2017_01095,respondent,0,0,1501,0.0,1.0,2017_01095.htm.txt,William J. Fitzpatrick,James P. Maxwell," Present-Whalen, P.J., Centra, DeJoseph, NeMoyer and Troutman, JJ",unlawful surveillance,Private,,plea of guilty,John J. Brunetti,,affirmed
2017_01096,respondent,0,0,4222,0.0,1.0,2017_01096.htm.txt,Sandra Doorley,Nancy Gilligan," Present-Whalen, P.J., Centra, DeJoseph, NeMoyer and Troutman, JJ",course sexual conduct against child (two counts);sexual abuse,Private,,jury verdict,Vincent M. Dinolfo,,affirmed
2017_01100,respondent,0,0,2221,0.0,1.0,2017_01100.htm.txt,Lawrence Friedman,William G. Zickl," Present-Peradotto, J.P., Carni, Lindley, Curran and Scudder, JJ",as class E felony;aggravated unlicensed operation motor vehicle;driving while intoxicated,Private,,plea of guilty,Robert C. Noonan,,affirmed
2017_01101,respondent,0,0,1510,0.0,1.0,2017_01101.htm.txt,,Ashley R. Lowry," Present-Peradotto, J.P., Carni, Lindley, Curran and Scudder, JJ",assault,Private,,plea of guilty,Deborah A. Haendiges,,affirmed
2017_01102,respondent,0,0,9534,0.0,1.0,2017_01102.htm.txt,Sandra Doorley,Leah Mervine," Present-Peradotto, J.P., Carni, Lindley, Curran and Scudder, JJ",criminal possession controlled substance;criminally using drug paraphernalia (three counts);criminal possession weapon;criminal possession controlled substance (three counts),Private,,jury verdict,Victoria M. Argento,,affirmed
2017_01103,respondent,0,0,4825,0.0,1.0,2017_01103.htm.txt,Brooks T. Baker,John C. Tunney," Present-Peradotto, J.P., Carni, Lindley, Curran and Scudder, JJ",assault (two counts),Private,,jury verdict,Joseph W. Latham,,affirmed
2017_01104,respondent,0,0,5049,0.0,1.0,2017_01104.htm.txt,,James M. Marra," Present-Peradotto, J.P., Carni, Lindley, Curran and Scudder, JJ",criminal possession controlled substance;criminal possession weapon,Private,,plea of guilty,Penny M. Wolfgang,,affirmed
2017_01105,respondent,0,0,3623,0.0,1.0,2017_01105.htm.txt,Sandra Doorley,Leah R. Mervine," Present-Peradotto, J.P., Carni, Lindley, Curran and Scudder, JJ",criminal sexual act;robbery,Public Defender,,plea of guilty,Francis A. Affronti,,reversed
2017_01106,respondent,0,0,3535,0.0,1.0,2017_01106.htm.txt,R. Michael Tantillo,," Present-Peradotto, J.P., Carni, Lindley, Curran and Scudder, JJ",criminal sale controlled substance (three counts),Public Defender,,plea of guilty,Frederick G. Reed,,affirmed
2017_01109,respondent,0,0,1235,0.0,1.0,2017_01109.htm.txt,,Steven G. Cox," Present-Peradotto, J.P., Lindley, NeMoyer and Scudder, JJ",robbery,Private,,plea of guilty,Michael L. Dwyer,,affirmed
2017_01110,respondent,0,0,2997,0.0,1.0,2017_01110.htm.txt,William J. Fitzpatrick,James P. Maxwell," Present-Whalen, P.J., Smith, DeJoseph, NeMoyer and Troutman, JJ",class D felony;driving while intoxicated,Legal Aid Society,ineffective assistance,plea of guilty,Joseph E. Fahey,,affirmed
2017_01111,respondent,0,0,1621,0.0,1.0,2017_01111.htm.txt,,David A. Heraty," Present-Whalen, P.J., Centra, Lindley, NeMoyer and Troutman, JJ",burglary (Penal Law § 140.20);sentenced him to an indeterminate term incarceration 1 to 3 years,Private,,,Michael F. Pietruszka,,affirmed
2017_01113,respondent,0,0,2547,0.0,1.0,2017_01113.htm.txt,Sandra Doorley,Daniel Gross," Present-Smith, J.P., DeJoseph, Curran and Scudder, JJ",criminal possession weapon (two counts);murder;criminal possession weapon,Conflict Defender,,jury verdict,John L. DeMarco,,
2017_01114,respondent,0,0,5590,0.0,1.0,2017_01114.htm.txt,,Joshua J. Tonra," Present-Carni, J.P., Lindley, DeJoseph, Curran and Troutman, JJ",assault;criminal possession weapon,Private,ineffective assistance,jury verdict,Robert B. Wiggins,,affirmed
2017_01115,respondent,0,0,6708,0.0,1.0,2017_01115.htm.txt,,Nicholas T. Texido," Present-Smith, J.P., Lindley, DeJoseph, NeMoyer and Troutman, JJ",attempted robbery;criminal possession weapon;murder (two counts),Private,,jury verdict,Russell P. Buscaglia,,affirmed
2017_01117,respondent,0,0,5063,0.0,1.0,2017_01117.htm.txt,Lawrence Friedman,William G. Zickl," Present-Whalen, P.J., Smith, Carni, DeJoseph and Curran, JJ",robbery,Private,,jury verdict,Robert C. Noonan,,affirmed
2017_01125,respondent,0,0,2234,0.0,1.0,2017_01125.htm.txt,"Cyrus R. Vance, Jr.",Jonathon Krois," Concur-Sweeny, J.P., Acosta, Mazzarelli, Manzanet-Daniels and Webber, JJ",ing defendant criminal sale controlled substance;;as felony drug offender;unanimously affirmed;sentencing him;to concurrent terms 71/2 years,Private,,,"Wayne M. Ozzi, Neil Ross"," at jury trial and sentencing, at resentencing",affirmed
2017_01128,respondent,0,0,1045,0.0,1.0,2017_01128.htm.txt,"Cyrus R. Vance, Jr.",Rebecca Hausner," Concur-Sweeny, J.P., Acosta, Mazzarelli, Manzanet-Daniels and Webber, JJ",,Private,,,Laura A. Ward,,affirmed
2017_01133,respondent,0,0,1033,0.0,1.0,2017_01133.htm.txt,"Cyrus R. Vance, Jr.",Ross D. Mazer," Concur-Sweeny, J.P., Acosta, Mazzarelli, Manzanet-Daniels and Webber, JJ",,Private,,,Abraham Clott,,affirmed
2017_01135,respondent,0,0,2502,0.0,1.0,2017_01135.htm.txt,Darcel D. Clark,Matthew B. White," Concur-Sweeny, J.P., Acosta, Mazzarelli, Manzanet-Daniels and Webber, JJ",unanimously affirmed;after jury trial;to term 15 years;robbery;ing defendant;as felony offender;sentencing him,Private,,,James M. Kindler,,affirmed
2017_01147,respondent,0,0,4544,0.0,1.0,2017_01147.htm.txt,"Cyrus R. Vance, Jr.",Ellen Stanfield Friedman," Concur-Tom, J.P., Richter, Saxe, Gische and Gesmer, JJ",unanimously affirmed;after jury trial;sentencing him to an aggregate term 15 years;sexual abuse;criminal sexual act;ing defendant,Legal Aid Society,insufficient,,Cassandra M. Mullen,,affirmed
2017_01149,respondent,0,0,1472,0.0,1.0,2017_01149.htm.txt,"Cyrus R. Vance, Jr.",Samuel Z. Goldfine," Concur-Sweeny, J.P., Renwick, Andrias, Kahn and Gesmer, JJ",reducing sentence to term months incarceration;to extent adjudicating defendant youthful offender;unanimously modified;substance abuse program under direction Probation Department;otherwise affirmed;ing defendant criminal possession weapon;as matter discretion interest justice;sentencing him to an indeterminate prison term 11/3 to 4 years;with condition that defendant participate mental health;years' probation,Private,,,Neil E. Ross, at plea and sentencing,reversed
2017_01152,respondent,0,0,2043,0.0,1.0,2017_01152.htm.txt,"Cyrus R. Vance, Jr.",Vincent Rivellese," Concur-Tom, J.P., Sweeny, Renwick, Moskowitz and Kapnick, JJ",unanimously affirmed;to concurrent terms 2 to 4 years;ing defendant criminal possession stolen property;as felony offender;sentencing him,Legal Aid Society,,,"Bonnie G. Wittner, Daniel P. FitzGerald"," at hearing, at jury trial and sentencing",affirmed
2017_01154,respondent,0,0,1042,0.0,1.0,2017_01154.htm.txt,"Cyrus R. Vance, Jr.",Natalia Bedoya McGinn," Concur-Tom, J.P., Sweeny, Renwick, Moskowitz and Kapnick, JJ",,Private,,,Marcy L. Kahn,,affirmed
2017_01158,respondent,0,0,1046,0.0,1.0,2017_01158.htm.txt,"Cyrus R. Vance, Jr.",Michael J. Yetter," Concur-Tom, J.P., Sweeny, Renwick, Moskowitz and Kapnick, JJ",,Private,,,Maxwell Wiley,,affirmed
2017_01161,respondent,0,0,1496,0.0,1.0,2017_01161.htm.txt,,," Concur-Tom, J.P., Sweeny, Renwick, Moskowitz and Kapnick, JJ",,Private,,,Shari R. Michels,,affirmed
2017_01220,respondent,0,0,1409,0.0,1.0,2017_01220.htm.txt,Madeline Singas,," Chambers, J.P., Austin, Hinds-Radix and Barros, JJ",imposing sentence,Private,ineffective assistance,plea of guilty,Harrington,,affirmed
2017_01221,respondent,0,0,1102,0.0,1.0,2017_01221.htm.txt,Thomas J. Spota,Karla Lato," Eng, P.J., Chambers, Maltese and Barros, JJ",on ground that sentence was excessive,Private,,plea of guilty,Cohen,,affirmed
2017_01222,respondent,0,0,2850,0.0,1.0,2017_01222.htm.txt,Thomas J. Spota,Grazia DiVincenzo," Chambers, J.P., Hall, Miller and Connolly, JJ",imposing sentence,Private,ineffective assistance,plea of guilty,Camacho,,affirmed
2017_01223,respondent,0,0,4250,0.0,1.0,2017_01223.htm.txt,,," Chambers, J.P., Hall, Miller and Connolly, JJ",imposing sentence,Private,,jury verdict,Firetog,,reversed
2017_01224,respondent,0,0,1645,0.0,1.0,2017_01224.htm.txt,Madeline Singas,," Dillon, J.P., Miller, Hinds-Radix and Connolly, JJ",imposing sentence,Private,,plea of guilty,Donnino,,affirmed
2017_01225,respondent,0,0,1867,0.0,1.0,2017_01225.htm.txt,"Anthony A. Scarpino, Jr.",," Rivera, J.P., Cohen, Miller and Brathwaite Nelson, JJ",imposing sentence,Private,,plea of guilty,Zambelli,,affirmed
2017_01226,respondent,0,0,1089,0.0,1.0,2017_01226.htm.txt,Madeline Singas,Sarah S. Rabinowitz," Rivera, J.P., Dillon, Miller and Maltese, JJ",,Private,ineffective assistance,,,,
2017_01227,respondent,0,0,1184,0.0,1.0,2017_01227.htm.txt,,," Eng, P.J., Austin, Roman, Hinds-Radix and Duffy, JJ",on ground that sentence was excessive,Private,,plea of guilty,Sciarrino,,affirmed
2017_01228,appellant,0,0,901,1.0,0.0,2017_01228.htm.txt,,," Eng, P.J., Dillon, Leventhal and Chambers, JJ",,Private,,,,,
2017_01229,respondent,0,0,6065,0.0,1.0,2017_01229.htm.txt,William V. Grady,," Balkin, J.P., Leventhal, Roman and LaSalle, JJ",imposing sentence,Private,misconduct,jury verdict,Greller,,affirmed
2017_01230,respondent,0,0,2309,0.0,1.0,2017_01230.htm.txt,Richard A. Brown,," Leventhal, J.P., Roman, Sgroi and Connolly, JJ",imposing sentence,Private,,jury verdict,Leach,,affirmed
2017_01231,respondent,0,0,1096,0.0,1.0,2017_01231.htm.txt,Madeline Singas,," Mastro, J.P., Leventhal, Sgroi and LaSalle, JJ",,Private,ineffective assistance,,,,
2017_01232,respondent,0,0,1529,0.0,1.0,2017_01232.htm.txt,,," Rivera, J.P., Dillon, Chambers and Hinds-Radix, JJ",imposing sentence,Private,,nonjury trial,Guzman,,affirmed
2017_01233,respondent,0,0,2454,0.0,1.0,2017_01233.htm.txt,,," Leventhal, J.P., Roman, Sgroi and Connolly, JJ",ing him robbery under indictment No,Private,,,Murphy,,reversed
2017_01234,appellant,0,0,983,1.0,0.0,2017_01234.htm.txt,,Alexander Fumelli," Rivera, J.P., Roman, Duffy and Brathwaite Nelson, JJ",,Private,,,Rooney,,
2017_01235,respondent,0,0,3901,0.0,1.0,2017_01235.htm.txt,Richard A. Brown,," Leventhal, J.P., Austin, Hinds-Radix and Duffy, JJ",pursuant to People v Peque (22 NY3d 168 [2013]),Private,ineffective assistance,plea of guilty,,,
2017_01236,respondent,0,0,1533,0.0,1.0,2017_01236.htm.txt,William V. Grady,Kirsten A. Rappleyea," Rivera, J.P., Dillon, Chambers and Hinds-Radix, JJ",excessive;alternative;on ground that sentence was illegal,Private,,plea of guilty,Greller,,reversed
2017_01237,respondent,0,0,4456,0.0,1.0,2017_01237.htm.txt,Richard A. Brown,," Balkin, J.P., Hall, LaSalle and Barros, JJ",imposing sentence,Private,insufficient,nonjury trial,Griffin,,reversed
2017_01238,respondent,0,0,5430,0.0,1.0,2017_01238.htm.txt,William V. Grady,Kirsten A. Rappleyea," Rivera, J.P., Dillon, Chambers and Hinds-Radix, JJ",imposing sentence,Private,,jury verdict,Alfieri,,affirmed
2017_01239,respondent,0,0,4469,0.0,1.0,2017_01239.htm.txt,Richard A. Brown,," Leventhal, J.P., Roman, Sgroi and Connolly, JJ",imposing sentence,Private,ineffective assistance,jury verdict,Holder,,reversed
2017_01240,respondent,0,0,3684,0.0,1.0,2017_01240.htm.txt,Thomas J. Spota,Caren C. Manzello," Rivera, J.P., Sgroi, Duffy and Brathwaite Nelson, JJ",imposing sentence,Private,,jury verdict,Kahn,,affirmed
2017_01241,respondent,0,0,2411,0.0,1.0,2017_01241.htm.txt,,," Mastro, J.P., Austin, Miller and Maltese, JJ",various crimes satisfaction indictments;sentenced to an indeterminate term imprisonment,Private,,plea of guilty,Firetog,,affirmed
2017_01242,respondent,0,0,2782,0.0,1.0,2017_01242.htm.txt,,Morrie I. Kleinbart," Mastro, J.P., Dillon, Balkin and Maltese, JJ",risk pursuant to Sex Offender Registration Act,Private,,,Rooney,,affirmed
2017_01265,respondent,0,0,28872,0.0,1.0,2017_01265.htm.txt,Darcel D. Clark,Eric C. Washer," Concur-Friedman, J.P., Sweeny, Saxe and Kapnick, JJ",which was not established here;48 NY2d 388 [1979]);may only be impeached upon showing improper influence (see People v Brown,Private,,jury verdict,Analisa Torres,,reversed
2017_01267,respondent,0,0,1050,0.0,1.0,2017_01267.htm.txt,"Cyrus R. Vance, Jr.",Amanda K. Regan," Concur-Friedman, J.P., Mazzarelli, Andrias, Feinman and Gesmer, JJ",,Private,,,Gregory Carro,,affirmed
2017_01270,respondent,0,0,3018,0.0,1.0,2017_01270.htm.txt,"Cyrus R. Vance, Jr.",Deborah L. Morse," Concur-Friedman, J.P., Mazzarelli, Andrias, Feinman and Gesmer, JJ",as felony drug offender;unanimously affirmed;after jury trial;to concurrent terms 16 years;criminal sale controlled substance;ing defendant;sentencing him,Private,,,Arlene D. Goldberg,,affirmed
2017_01273,respondent,0,0,1029,0.0,1.0,2017_01273.htm.txt,"Cyrus R. Vance, Jr.",Alan Gadlin," Concur-Friedman, J.P., Mazzarelli, Andrias, Feinman and Gesmer, JJ",,Legal Aid Society,,,Gregory Carro,,affirmed
2017_01279,respondent,0,0,1197,0.0,1.0,2017_01279.htm.txt,"Cyrus R. Vance, Jr.",Samuel Goldfine," Concur-Friedman, J.P., Mazzarelli, Andrias, Feinman and Gesmer, JJ",sentencing him to an aggregate term 13 years;unanimously modified;otherwise affirmed;as matter discretion interest justice;operating as major trafficker;to extent reducing sentence on trafficking conviction to 10 years;conspiracy,Private,,plea of guilty,Daniel P. FitzGerald,,reversed
2017_01283,respondent,0,0,3702,0.0,1.0,2017_01283.htm.txt,"Cyrus R. Vance, Jr.",Yan Slavinskiy," Concur-Richter, J.P., Manzanet-Daniels, Gische, Webber and Kahn, JJ",as felony drug offender;unanimously affirmed;ing defendant criminal possession controlled substance;to term years;sentencing him,Private,,,"Richard D. Carruthers, Daniel P. FitzGerald"," at suppression hearing, at plea and sentencing",affirmed
2017_01285,respondent,0,0,1289,0.0,1.0,2017_01285.htm.txt,Darcel D. Clark,Stanley R. Kaplan," Concur-Richter, J.P., Manzanet-Daniels, Gische, Webber and Kahn, JJ",unanimously affirmed;sentencing her to term 90 days;promoting prison contraband,Private,ineffective assistance,plea of guilty,George Villegas,,affirmed
2017_01291,respondent,0,0,871,0.0,1.0,2017_01291.htm.txt,"Cyrus R. Vance, Jr.",Katherine Kulkarni," Concur-Richter, J.P., Manzanet-Daniels, Gische, Webber and Kahn, JJ",,Private,,,Edward McLaughlin,,affirmed
2017_01293,respondent,0,0,3400,0.0,1.0,2017_01293.htm.txt,"Cyrus R. Vance, Jr.",Brian R. Pouliot," Concur-Richter, J.P., Manzanet-Daniels, Gische, Webber and Kahn, JJ",unanimously affirmed;to concurrent terms 20 years to life;ing defendant eight robbery;as persistent violent felony offender;sentencing him,Legal Aid Society,,,"Michael R. Sonberg, Bruce Allen",,affirmed
2017_01299,respondent,0,0,13202,0.0,1.0,2017_01299.htm.txt,,<i>Patrick J. Hynes </i,"  Renwick, Andrias, Saxe and Gische, JJ",ion (see Penal Law § 160.00),Private,insufficient,,Ruth Pickholz,,affirmed
2017_01304,respondent,0,0,17077,0.0,1.0,2017_01304.htm.txt,"Cyrus R. Vance, Jr.",David M. Cohn," Concur-Sweeny, J.P., Renwick, Mazzarelli, Manzanet-Daniels and Feinman, JJ",degrees;to an aggregate term 25 years to life;after jury trial;unanimously affirmed;robbery;ing defendant;as felony offender;sentencing him;murder,Legal Aid Society,insufficient,,"Richard D. Carruthers, Bruce Allen"," at suppression hearing, at trial",affirmed
2017_01308,respondent,0,0,1031,0.0,1.0,2017_01308.htm.txt,"Cyrus R. Vance, Jr.",Sabrina Margret Bierer," Concur-Tom, J.P., Renwick, Saxe, Feinman and Gesmer, JJ",,Legal Aid Society,,,Edward McLaughlin,,affirmed
2017_01309,respondent,0,0,3869,0.0,1.0,2017_01309.htm.txt,"Cyrus R. Vance, Jr.",Eleanor J. Ostrow," Concur-Acosta, J.P., Renwick, Moskowitz, Feinman and Gesmer, JJ",degrees;as felony drug offender;unanimously affirmed;criminally using drug paraphernalia;ing defendant criminal possession controlled substance;to an aggregate term years;sentencing him,Private,insufficient,,"Melissa C. Jackson, Richard D. Carruthers"," at Darden hearing, jury...",affirmed
2017_01312,respondent,0,0,1369,0.0,1.0,2017_01312.htm.txt,"Cyrus R. Vance, Jr.",Lee M. Pollack," Concur-Acosta, J.P., Renwick, Moskowitz, Feinman and Gesmer, JJ",burglary;unanimously affirmed;grand larceny;as felony offender;sentencing him;to an aggregate term 61/2 to 13 years,Private,,plea of guilty,Neil E. Ross,,affirmed
2017_01316,respondent,0,0,1043,0.0,1.0,2017_01316.htm.txt,"Cyrus R. Vance, Jr.",Lee M. Pollack," Concur-Acosta, J.P., Renwick, Moskowitz, Feinman and Gesmer, JJ",,Private,,,Gregory Carro,,affirmed
2017_01318,respondent,0,0,1498,0.0,1.0,2017_01318.htm.txt,,," Concur-Acosta, J.P., Renwick, Moskowitz, Feinman and Gesmer, JJ",,Private,,,Maxwell Wiley,,affirmed
2017_01320,respondent,0,0,987,0.0,1.0,2017_01320.htm.txt,"Cyrus R. Vance, Jr.",Lee M. Pollack," Concur-Acosta, J.P., Renwick, Moskowitz, Feinman and Gesmer, JJ",,Private,,,Edward J. McLaughlin,,affirmed
2017_01375,respondent,0,0,1313,0.0,1.0,2017_01375.htm.txt,William V. Grady,Kirsten A. Rappleyea," Dillon, J.P., Chambers, Sgroi, Maltese and Barros, JJ",ions criminal contempt (two counts) under Indictment No,Private,,,Greller,,affirmed
2017_01376,respondent,0,0,1161,0.0,1.0,2017_01376.htm.txt,,," Rivera, J.P., Balkin, Austin and Roman, JJ",,Private,ineffective assistance,,,,
2017_01377,respondent,0,0,996,0.0,1.0,2017_01377.htm.txt,,," Eng, P.J., Austin, Roman, Maltese and Duffy, JJ",,Private,,,Marrus,,affirmed
2017_01378,respondent,0,0,1814,0.0,1.0,2017_01378.htm.txt,Thomas P. Zugibe,Itamar J. Yeger," Balkin, J.P., Miller, Duffy, LaSalle and Brathwaite Nelson, JJ",imposing sentence,Private,ineffective assistance,plea of guilty,Kelly,,affirmed
2017_01379,respondent,0,0,1207,0.0,1.0,2017_01379.htm.txt,Thomas J. Spota,Karla Lato," Chambers, J.P., Hall, Miller and Connolly, JJ",imposing sentence,Private,,plea of guilty,Hudson,,affirmed
2017_01380,respondent,0,0,1816,0.0,1.0,2017_01380.htm.txt,"Anthony A. Scarpino, Jr.",," The defendant was not charged with the commission of an ""armed felony."" Balkin, J.P., Hall, LaSalle and Barros, JJ",imposing sentence,Private,,plea of guilty,Molea,,affirmed
2017_01381,respondent,0,0,6023,0.0,1.0,2017_01381.htm.txt,Richard A. Brown,," Mastro, J.P., Austin, Miller and Maltese, JJ",imposing sentence,Private,,jury verdict,Hollie,,reversed
2017_01382,respondent,0,0,5472,0.0,1.0,2017_01382.htm.txt,,," Mastro, J.P., Austin, Miller and Maltese, JJ",as persistent felony offender;to run consecutively to each other;as persistent violent felony offender;to indeterminate terms imprisonment 20 years to life upon each his convictions robbery;sentencing him;to an indeterminate term imprisonment 20 years to life upon his conviction robbery,Private,ineffective assistance,jury verdict,Del Giudice,,reversed
2017_01383,respondent,0,0,2811,0.0,1.0,2017_01383.htm.txt,Madeline Singas,," Rivera, J.P., Sgroi, Duffy and Brathwaite Nelson, JJ",imposing sentence,Private,,plea of guilty,Sullivan,,affirmed
2017_01384,respondent,0,0,1321,0.0,1.0,2017_01384.htm.txt,,," Eng, P.J., Leventhal, Sgroi, Cohen and Miller, JJ",on ground that sentence was excessive,Private,,plea of guilty,Murphy,,affirmed
2017_01385,respondent,0,0,1312,0.0,1.0,2017_01385.htm.txt,William V. Grady,Kirsten A. Rappleyea," Chambers, J.P., Hall, Maltese and Barros, JJ",on ground;inter alia;that sentence is excessive,Private,,plea of guilty,Forman,,affirmed
2017_01386,respondent,0,0,3206,0.0,1.0,2017_01386.htm.txt,Thomas J. Spota,Marcia R. Kucera," Rivera, J.P., Austin, Roman, Hinds-Radix and Connolly, JJ",imposing sentence,Private,ineffective assistance,plea of guilty,Kahn,,affirmed
2017_01387,respondent,0,0,1578,0.0,1.0,2017_01387.htm.txt,,," Rivera, J.P., Roman, Duffy and Brathwaite Nelson, JJ",imposing sentence,Private,,jury verdict,Firetog,,affirmed
2017_01388,respondent,0,0,1152,0.0,1.0,2017_01388.htm.txt,Richard A. Brown,," Mastro, J.P., Leventhal, Sgroi and Hinds-Radix, JJ",,Private,ineffective assistance,,,,
2017_01389,respondent,0,0,1672,0.0,1.0,2017_01389.htm.txt,David M. Hoovler,," Mastro, J.P., Leventhal, Hall and Cohen, JJ",imposing sentence,Private,,plea of guilty,De Rosa,,reversed
2017_01390,respondent,0,0,6337,0.0,1.0,2017_01390.htm.txt,Richard A. Brown,," Rivera, J.P., Cohen, Miller and Brathwaite Nelson, JJ",imposing sentence,Private,insufficient,nonjury trial,Lopresto,,reversed
2017_01391,respondent,0,0,1124,0.0,1.0,2017_01391.htm.txt,,," Dillon, J.P., Balkin, Leventhal and Sgroi, JJ",,Private,ineffective assistance,,,,
2017_01392,respondent,0,0,5298,0.0,1.0,2017_01392.htm.txt,,," Mastro, J.P., Dillon, Balkin and Maltese, JJ",imposing sentence,Private,,jury verdict,Del Giudice,,affirmed
2017_01393,respondent,0,0,1957,0.0,1.0,2017_01393.htm.txt,Thomas P. Zugibe,," Mastro, J.P., Chambers, Maltese and Duffy, JJ",risk pursuant to Sex Offender Registration Act,Private,,,Nelson,,affirmed
2017_01394,respondent,0,0,1862,0.0,1.0,2017_01394.htm.txt,,," Eng, P.J., Hall, Cohen and Connolly, JJ",risk pursuant to Sex Offender Registration Act,Private,,,Brennan,,affirmed
2017_01406,respondent,0,0,20407,0.0,1.0,2017_01406.htm.txt,John M. Muehl,,"  McCarthy, J.P., Lynch, Devine and Mulvey, JJ",ing defendant crimes murder;criminal possession weapon;robbery;murder (two counts),Private,,,Cawley,,reversed
2017_01407,respondent,0,0,3950,0.0,1.0,2017_01407.htm.txt,Kathleen B. Hogan,Emilee B. Davenport,"  McCarthy, J.P., Egan Jr., Clark and Mulvey, JJ",burglary;ing defendant crimes robbery;endangering welfare child;robbery;petit larceny,Private,,,McKeighan,,reversed
2017_01408,respondent,0,0,8168,0.0,1.0,2017_01408.htm.txt,James R. Farrell,Meagan K. Galligan,"  Egan Jr., Rose, Devine and Aarons, JJ",without hearing;crime criminal sale controlled substance;which denied defendant's motion pursuant to CPL 440.10 to vacate judgment conviction;2015 Sullivan County;(2) by permission;entered January 6;from an order said court,Private,,plea of guilty,LaBuda,,reversed
2017_01409,respondent,0,0,10281,0.0,1.0,2017_01409.htm.txt,P. David Soares,Vincent Stark," That said, we note in passing that while the bulk of the prosecutor's comments relative to the blood found on the victim's vehicle and the import of the resulting DNA match to defendant constituted fair comment upon the evidence, the prosecutor exceeded the bounds of permissible commentary when, during the course of his summation, he told the jury, ""[Y]ou know that the blood [on the victim's car] belongs to the robber.""  Garry, J.P., Devine, Clark and Aarons, JJ",criminal possession weapon;ing defendant crimes robbery (two counts),Private,misconduct,,Breslin,,reversed
2017_01410,respondent,0,0,11844,0.0,1.0,2017_01410.htm.txt,Karen Heggen,Gordon W. Eddy,"  Peters, P.J., Lynch, Devine and Aarons, JJ",attempted kidnapping;sexual abuse;ing defendant crimes assault (two counts);criminal obstruction breathing blood circulation,Private,ineffective assistance,,Scarano,,reversed
2017_01411,respondent,0,0,10543,0.0,1.0,2017_01411.htm.txt,,Peter M. Califano,"  Garry, J.P., Egan Jr., Clark and Aarons, JJ",ing defendant crimes criminal possession controlled substance (two counts),Private,,,Catena,,reversed
